Date,Open,High,Low,Close,Adj Close,Volume
2014-07-25,82.160004,82.980003,80.129997,81.830002,55.463531,8131100
2014-08-01,81.279999,82.260002,80.320000,80.470001,54.541756,10264900
2014-08-08,80.040001,80.790001,78.720001,79.330002,53.769054,7659700
2014-08-15,79.809998,80.919998,79.269997,79.790001,54.724346,6560400
2014-08-22,79.440002,81.279999,79.050003,81.190002,55.684536,7891800
2014-08-29,80.800003,81.110001,79.669998,79.809998,54.738056,6163200
2014-09-05,79.699997,80.279999,77.400002,78.169998,53.613243,8728800
2014-09-12,77.519997,78.870003,77.099998,78.589996,53.901321,5648700
2014-09-19,79.010002,79.110001,76.080002,76.339996,52.358124,6088900
2014-09-26,76.050003,76.940002,73.400002,74.290001,50.952141,8998600
2014-10-03,73.639999,74.589996,71.910004,72.089996,49.443253,9520300
2014-10-10,70.699997,71.139999,65.680000,67.209999,46.096287,27431800
2014-10-17,68.279999,71.080002,67.419998,70.830002,48.579079,24181500
2014-10-24,70.720001,72.199997,70.029999,71.379997,48.956310,8608100
2014-10-31,71.379997,71.839996,68.190002,69.459999,47.639458,14160900
2014-11-07,70.610001,71.480003,68.209999,68.410004,46.919315,12390700
2014-11-14,68.519997,71.139999,68.440002,71.000000,49.347904,10226900
2014-11-21,71.589996,72.000000,70.419998,71.370003,49.605076,9813700
2014-11-28,67.230003,69.349998,66.290001,67.379997,46.831856,16847800
2014-12-05,67.279999,67.449997,63.599998,63.810001,44.350571,19749800
2014-12-12,62.930000,66.639999,60.840000,66.540001,46.248035,22560200
2014-12-19,67.309998,68.809998,67.010002,68.419998,47.554710,13197000
2014-12-26,68.769997,69.500000,66.849998,66.949997,46.532986,12306400
2015-01-02,67.019997,67.160004,63.000000,65.040001,45.205460,29030000
2015-01-09,64.599998,64.739998,61.049999,62.509998,43.447010,26242000
2015-01-16,63.049999,66.279999,63.029999,65.860001,45.775402,14575200
2015-01-23,64.800003,66.959999,61.810001,62.310001,43.307999,24488600
2015-01-30,61.169998,67.050003,60.669998,66.809998,46.435684,37233800
2015-02-06,66.190002,67.160004,63.970001,65.349998,45.420929,19614000
2015-02-13,65.809998,66.809998,65.070000,65.080002,45.886005,10537300
2015-02-20,65.059998,66.019997,64.639999,64.820000,45.702686,12105900
2015-02-27,65.220001,65.820000,62.209999,62.340000,43.954105,20962400
2015-03-06,61.480000,61.700001,57.950001,58.660000,41.359447,22408500
2015-03-13,57.500000,60.910000,56.820000,60.200001,42.445263,20830300
2015-03-20,61.419998,62.900002,61.180000,61.360001,43.263134,15394800
2015-03-27,60.790001,61.419998,59.480000,60.330002,42.536926,15194300
2015-04-03,61.270000,62.520000,58.709999,59.400002,41.881210,23847700
2015-04-10,59.299999,63.740002,59.290001,63.259998,44.602779,24967800
2015-04-17,62.360001,63.360001,62.009998,62.959999,44.391254,14094400
2015-04-24,63.009998,63.970001,62.560001,63.430000,44.722637,12764400
2015-05-01,63.320000,64.459999,61.660000,62.119999,43.799000,16673800
2015-05-08,64.199997,64.360001,63.060001,63.560001,44.814297,18340000
2015-05-15,62.970001,63.459999,61.150002,62.299999,44.584446,11040600
2015-05-22,61.549999,61.590000,59.360001,60.119999,43.024345,9124100
2015-05-29,59.990002,60.270000,58.330002,58.549999,41.900791,15247500
2015-06-05,57.759998,59.389999,57.529999,59.090000,42.287231,16589800
2015-06-12,58.250000,59.169998,57.410000,58.650002,41.972359,14765500
2015-06-19,58.889999,59.980000,58.549999,59.230000,42.387432,12243300
2015-06-26,58.939999,59.209999,56.160000,56.930000,40.741463,19111300
2015-07-03,56.000000,56.330002,54.310001,55.419998,39.660835,18722400
2015-07-10,56.990002,57.720001,56.340000,57.099998,40.863102,19830500
2015-07-17,57.220001,57.400002,55.290001,55.820000,39.947094,22743900
2015-07-24,54.930000,57.980000,53.759998,57.369999,41.056332,22163900
2015-07-31,58.480000,58.619999,56.900002,58.590000,41.929417,24060300
2015-08-07,58.680000,59.160000,56.759998,56.930000,40.741463,16790100
2015-08-14,56.480000,56.849998,54.189999,54.189999,39.407482,15356100
2015-08-21,53.919998,54.000000,48.770000,51.939999,37.771267,35064000
2015-08-28,51.660000,52.919998,50.000000,50.799999,36.942249,26546800
2015-09-04,49.470001,51.680000,49.200001,50.570000,36.774986,14318300
2015-09-11,50.110001,52.259998,49.360001,51.520000,37.465843,15863200
2015-09-18,50.130001,50.310001,46.630001,46.980000,34.164307,26709900
2015-09-25,47.529999,49.360001,45.810001,48.180000,35.036953,21944800
2015-10-02,48.860001,55.880001,48.590000,55.880001,40.636475,25005900
2015-10-09,55.680000,56.049999,53.439999,55.930000,40.672829,16475600
2015-10-16,56.189999,56.410000,54.099998,55.389999,40.280144,14617800
2015-10-23,54.740002,54.810001,52.000000,52.560001,38.222137,18575300
2015-10-30,52.299999,55.220001,52.020000,52.720001,38.338486,24380500
2015-11-06,51.849998,52.590000,48.459999,48.639999,35.371471,19865600
2015-11-13,48.240002,51.410000,47.790001,51.049999,37.808563,20104300
2015-11-20,50.880001,50.910000,49.000000,49.930000,36.979080,13163900
2015-11-27,50.180000,50.730000,49.020000,49.160000,36.408802,16862000
2015-12-04,48.880001,48.900002,45.090000,46.189999,34.209160,25974000
2015-12-11,45.240002,45.279999,43.259998,43.509998,32.224304,27880700
2015-12-18,44.150002,47.049999,43.320000,46.259998,34.261002,22543500
2015-12-25,45.939999,46.759998,45.439999,45.790001,33.912914,13452800
2016-01-01,45.410000,45.919998,42.029999,42.119999,31.194847,26800500
2016-01-08,41.450001,41.630001,38.799999,41.349998,30.624569,44350300
2016-01-15,39.230000,39.759998,35.799999,38.189999,28.284214,41921500
2016-01-22,40.330002,43.900002,39.380001,43.330002,32.091000,35091100
2016-01-29,42.830002,45.330002,41.049999,44.549999,32.994549,35526800
2016-02-05,44.910000,45.250000,41.610001,42.480000,31.461462,36507900
2016-02-12,43.380001,46.500000,43.160000,45.759998,33.890690,23097200
2016-02-19,44.959999,46.330002,42.849998,45.060001,34.077839,26151900
2016-02-26,45.779999,47.700001,45.419998,47.599998,35.998787,21876800
2016-03-04,47.279999,48.660000,46.709999,47.330002,35.794590,35601300
2016-03-11,47.330002,50.320000,47.040001,50.090000,37.881908,24749600
2016-03-18,49.990002,50.160000,46.770000,48.279999,36.513046,18592300
2016-03-25,48.400002,50.020000,47.040001,48.450001,36.641617,15772900
2016-04-01,46.930000,48.299999,46.419998,47.250000,35.734089,21559500
2016-04-08,48.799999,52.040001,48.709999,51.700001,39.099518,35893600
2016-04-15,51.860001,53.110001,50.400002,52.630001,39.802856,24369500
2016-04-22,52.139999,53.740002,51.340000,53.080002,40.143185,23360500
2016-04-29,53.209999,53.340000,49.900002,50.509998,38.199539,26008600
2016-05-06,49.709999,51.849998,49.400002,50.759998,38.388618,23081700
2016-05-13,49.759998,51.410000,48.480000,49.200001,37.208824,22965600
2016-05-20,49.090000,50.439999,48.410000,49.849998,38.410736,20088000
2016-05-27,49.680000,49.709999,47.980000,48.849998,37.640209,14616600
2016-06-03,49.459999,53.230000,49.020000,52.320000,40.313938,20767900
2016-06-10,51.540001,51.830002,48.330002,50.119999,38.618771,26804300
2016-06-17,50.820000,55.200001,50.689999,55.169998,42.509933,26045500
2016-06-24,50.619999,55.220001,50.599998,55.220001,42.548458,39970900
2016-07-01,55.220001,55.669998,53.549999,54.259998,41.808758,18061800
2016-07-08,54.380001,56.290001,54.259998,55.470001,42.741096,28551300
2016-07-15,55.320000,55.720001,54.349998,55.040001,42.409771,24413000
2016-07-22,55.070000,55.160000,51.959999,52.349998,40.337044,25787300
